source_page,year,pdf_url,local_path,bytes,sha256
Council,2024,https://www.commercialpointohio.gov/CPMeetings/Council/2024/4-1-2024-Council-Meeting.pdf,Council/2024/4-1-2024-Council-Meeting.pdf,3463604,8930ec44553d9c02dbb429a520a799de55bcd78890e9a38a7c9faea0967f86dc
Council,2024,https://www.commercialpointohio.gov/CPMeetings/Council/2024/5-6-Council.pdf,Council/2024/5-6-Council.pdf,2704937,b7c25125d6651773e7d088375fb2a44c666f26ea2a60bf85958bcd3f52360618
Council,2024,https://www.commercialpointohio.gov/CPMeetings/Council/2024/Council-6-3-24.pdf,Council/2024/Council-6-3-24.pdf,3224107,6afb4205ee7cc095f101f780e2a3a93776209289dc16fac8e142f93583d3991a
Council,2024,https://www.commercialpointohio.gov/CPMeetings/Council/2024/7-1-24-Council-Min.pdf,Council/2024/7-1-24-Council-Min.pdf,3426604,b80b80bf6e4d9b4a886a064cd3f1dd30d490ffcccd3fb964048a55230983a978
Council,2024,http://www.commercialpointohio.gov/wp-content/uploads/2024/10/8-5-24.pdf,Council/2024/8-5-24.pdf,2605186,a503ec8e4bfbc90c5af8f3ec6e28feec292134f7ca74cb65c67cff85ac938c96
Council,2024,https://www.commercialpointohio.gov/CPMeetings/Council/2024/9-9-24-council.pdf,Council/2024/9-9-24-council.pdf,3715145,7411192a0eb989f2a965e2fa6be1a73f336c3e5fed0024544b9202e251b2c567
Council,2024,http://www.commercialpointohio.gov/wp-content/uploads/2024/11/10-7-24-council.pdf,Council/2024/10-7-24-council.pdf,2903284,65ffa097a69867aff236285fff898be94166143475f53cb0d538f79e488130e9
Council,2024,http://www.commercialpointohio.gov/wp-content/uploads/2024/12/11-4-2024.pdf,Council/2024/11-4-2024.pdf,2480782,e4de9aa0d066aed7a3018e50c8f15f97a93883c582702d1e4305367ca24c163a
Council,2024,http://www.commercialpointohio.gov/wp-content/uploads/2025/02/12-2-24-council.pdf,Council/2024/12-2-24-council.pdf,4342469,d4cb3e788a3b1268c47a9404fee16a258affad07513c487081acab2e7658473c
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/1-9.pdf,Council/2023/1-9.pdf,261531,c5bb8d70f7c143086479c1ff89536195715460029f625c02a1be48c422bfdee7
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/2-6-23.pdf,Council/2023/2-6-23.pdf,300033,cd84718ba00fb8e900b39ecfb71e1c7f4606d793cd7ac19e34f8c1e773eda2a5
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/3-6 council.pdf,Council/2023/3-6_council.pdf,455355,4c8706ac2e64eb6a52e6b80c0da5e635b3854f4a0a0e0c5040e32a1c0e85a04e
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/5-1-2023.pdf,Council/2023/5-1-2023.pdf,709013,916530f8dffe6f5a064c602a6f6bb7526d414829f675d41fb99842fcac836e19
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/6-5-2023-Council-Minutes.pdf,Council/2023/6-5-2023-Council-Minutes.pdf,3358476,fbb4bd40f3908910a95485635eda8a53de97956b5ef5fb44da9d4b930174e807
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/7-10-2023.pdf,Council/2023/7-10-2023.pdf,474786,e6c30be54afb5f3e0111264b4877f65d3e063592c2ffe679f9f3c94943938de7
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/8-7-council.pdf,Council/2023/8-7-council.pdf,1336374,3e268b33777de987c8fdcdea5f7b9c454148b5bf5187f69ee3898ba9e0da47e5
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/10-2-2023.pdf,Council/2023/10-2-2023.pdf,375693,1b9f113cebd28dd292bb8ffed59d08e0b330af81c29e4dae10da993d34150dea
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/11-6-2023.pdf,Council/2023/11-6-2023.pdf,289019,f47e5c0371d3b00bd9a5bd729cf70a1664fce5e107d7f72d6e7aae077ef37694
Council,2023,https://www.commercialpointohio.gov/CPMeetings/Council/2023/12-4-23-council.pdf,Council/2023/12-4-23-council.pdf,2700215,eea5625049556f8ceb0fae29d2461312fb163a611b824589ebf6981af8d4464a
Special,2016,https://commercialpointohio.gov/CPMiscForms/2016-Annual-Drinking-Water-Quality-Report.pdf,Special/2016/2016-Annual-Drinking-Water-Quality-Report.pdf,913542,8e5bb1c79f3aa8be310d7b0802db77815cc9951ebf064d6cc3bcf4371f3cc98e
Special,2017,https://commercialpointohio.gov/CPMiscForms/2017-VOCP-Water-Quality-Report.pdf,Special/2017/2017-VOCP-Water-Quality-Report.pdf,1012105,b9deee064b700b071d77fe5fc49956576e07d1729f6b0ce81bca4710a8749d35
Special,2018,https://commercialpointohio.gov/CPMiscForms/2018-VOCP-Water-Quality-Report.pdf,Special/2018/2018-VOCP-Water-Quality-Report.pdf,1041684,7e96d4c3817cbfd22a57b8a30f7dd7cacc1e4df3c9e86fa62107501fcbc06542
Special,2019,https://www.commercialpointohio.gov/CPMiscForms/2019.pdf,Special/2019/2019.pdf,1038208,3171deb47367eb83cf4669a863bbf52ef9df2a55ecf1b3544b42242997538a7c
Special,2020,https://www.commercialpointohio.gov/CPMiscForms/CCR2020.pdf,Special/2020/CCR2020.pdf,1642389,ab6d9d02595f3f7619aad56bd6cfab898be4f996e5e79af35e63497b208ca31f
Special,2021,https://www.commercialpointohio.gov/CPMiscForms/CCR%202021.pdf,Special/2021/CCR_202021.pdf,351246,941129273e35ee4769540a50238ed23f5f38f434b1a7156f8e52c3e8f7ed4b00
Special,2022,https://www.commercialpointohio.gov/CPMiscForms/2022-CCR.pdf,Special/2022/2022-CCR.pdf,229924,b1c771ef73f52b675fdd814bc6825f1d030f14ae6a87b2c68664dc905865073d
Special,2023,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/2023-Water-Quality-Report.pdf,Special/2023/2023-Water-Quality-Report.pdf,1857528,378e9993f9746a3b870edacadad782c2f01da4f2ed839789ca4e56b7b90ac353
